Flight Price,Flight Duration,Departure Time,Departure Location,Arrival Time,Arrival Location,Site
"4,716",1h 20m,21:30,PNQ,22:50,DEL,agoda
"4,949",02h 10m,01:00,Pune,03:10,Delhi,EaseMyTrip
"4,949",2h 10m,21:55,PNQ,00:05+1,DEL,agoda
"4,949",2h 10m,01:00AirIndia ExpressI5-736,Pune,Arrival time not found,New Delhi,Yatra
"4,999",02h 15m,00:50,Pune,03:05,Delhi,EaseMyTrip
"4,999",2h 15m,00:50Air IndiaAI-1852,Pune,Arrival time not found,New Delhi,Yatra
"5,060",2h 10m,01:00,PNQ,03:10,DEL,agoda
"5,140",2h 5m,05:35,PNQ,07:40,DEL,agoda
"5,174",2h 15m,06:00,PNQ,08:15,DEL,agoda
"5,174",2h 20m,16:20,PNQ,18:40,DEL,agoda
"5,410",2h 10m,01:00,PNQ,03:10,DEL,agoda
"5,680",01h 20m,21:30,Pune,22:50,Delhi,EaseMyTrip
"5,680",02h 15m,06:00,Pune,08:15,Delhi,EaseMyTrip
"5,680",02h 20m,16:20,Pune,18:40,Delhi,EaseMyTrip
"5,680",1h 20m,21:30SpiceJetSG-390,Pune,Arrival time not found,New Delhi,Yatra
"5,681",02h 10m,21:55,Pune,00:05,Delhi,EaseMyTrip
"5,681",02h 10m,00:10,Pune,02:20,Delhi,EaseMyTrip
"5,681",2h 10m,00:10AirIndia ExpressI5-722,Pune,Arrival time not found,New Delhi,Yatra
"5,681",2h 10m,21:55Air IndiaAI-854,Pune,Arrival time not found,New Delhi,Yatra
"5,796",2h 15m,16:55,PNQ,19:10,DEL,agoda
"5,802",2h 15m,06:40,PNQ,08:55,DEL,agoda
"5,808",2h 10m,00:10,PNQ,02:20,DEL,agoda
"5,831",02h 05m,05:35,Pune,07:40,Delhi,EaseMyTrip
"5,831",02h 15m,16:55,Pune,19:10,Delhi,EaseMyTrip
"5,831",2h 05m,05:35VistaraUK-974,Pune,Arrival time not found,New Delhi,Yatra
"5,831",2h 15m,16:55VistaraUK-998,Pune,Arrival time not found,New Delhi,Yatra
"5,843",2h 5m,20:25,PNQ,22:30,DEL,agoda
